#Frame            All     All[Max]
     704      21.8757      30.5616
     705      21.8890      30.6633
     706      21.9983      30.7562
     707      22.0787      30.9554
     708      22.0282      30.9073
     709      22.1997      31.2003
     710      22.2745      31.1978
     711      22.4077      31.3454
     712      22.1861      30.6524
     713      22.3728      31.2116
     714      22.2966      31.5964
     715      22.2719      31.7989
     716      22.0145      30.9906
     717      22.0747      31.3467
     718      21.9930      30.8514
     719      21.9260      30.4747
     720      21.9467      30.3266
     721      22.0815      30.7960
     722      22.0063      30.2179
     723      21.8608      30.1035
     724      21.7483      29.6596
     725      21.7549      29.6912
     726      21.6831      42.0320
     727      21.6718      41.6954
     728      21.5437      41.3681
     729      21.5622      41.8100
     730      21.7235      42.0650
     731      21.7035      41.6785
     732      21.7015      41.8980
     733      21.6511      29.6041
     734      21.6649      42.1735
     735      21.6851      42.2604
     736      21.6875      42.2501
     737      21.7587      42.1086
     738      21.6779      41.9913
     739      21.6447      29.8298
     740      21.7014      42.2005
     741      21.5487      29.4237
     742      21.5053      29.1990
     743      21.6921      42.2131
     744      21.6725      42.5385
     745      21.9219      30.3571
     746      21.8910      30.2293
     747      22.0376      30.2939
     748      21.9379      30.4768
     749      21.8208      42.4420
     750      21.6298      42.2647
     751      21.4414      41.6003
     752      21.4041      41.6997
     753      21.3466      41.8114
     754      21.4798      41.7558
     755      21.6049      29.8202
     756      21.5514      29.8067
     757      21.8254      30.6089
     758      21.6215      30.4781
     759      21.7476      30.4176
     760      21.5986      30.0821
     761      21.5412      30.2410
     762      21.7029      30.1451
     763      21.5287      30.4193
     764      21.4977      30.3639
     765      21.5351      30.1252
     766      21.5266      29.9102
     767      21.5589      42.4313
     768      21.7501      29.8333
     769      21.7191      30.2175
     770      21.6159      30.1166
     771      21.6606      29.9794
     772      21.7476      30.2215
     773      21.9211      30.5498
     774      21.7457      30.3103
     775      21.7913      30.4900
     776      21.9027      42.1935
     777      21.6288      42.5231
     778      21.6204      41.9606
     779      21.7153      42.1385
     780      21.8281      42.6312
     781      21.8475      42.5321
     782      21.9426      42.3886
     783      22.0815      30.0275
     784      22.0239      29.7389
     785      22.1244      42.9699
     786      22.0773      30.4157
     787      22.0788      30.7046
     788      22.0827      30.3553
     789      22.0567      30.1356
     790      22.0780      30.2764
     791      22.1518      30.3051
     792      22.1104      30.6583
     793      22.2607      31.1668
     794      22.2804      31.0354
     795      22.1789      30.8433
     796      22.2251      30.6596
     797      22.1920      31.2341
     798      22.1474      30.7067
     799      22.3442      31.1992
     800      22.3046      43.8030
     801      22.2078      31.0905
     802      22.0424      42.8823
     803      22.0024      29.8854
     804      21.9783      30.5840
     805      22.0719      30.6950
     806      21.7605      29.9120
     807      21.8986      43.1237
     808      22.0669      42.5628
     809      22.0554      43.1602
     810      21.8438      42.1749
     811      21.7870      29.6171
     812      21.6886      29.3560
     813      21.7483      29.8967
     814      21.8779      29.7147
     815      21.9400      29.7763
     816      21.8220      29.8973
     817      21.8996      29.9979
     818      22.1202      30.6185
     819      22.1006      30.4514
     820      22.0237      30.7219
     821      21.9863      30.4543
     822      21.9736      30.5793
     823      21.8620      30.1869
     824      22.0043      30.1689
     825      22.0591      42.8067
     826      22.2329      30.3649
     827      22.3177      30.2291
     828      22.1219      29.8576
     829      22.1376      29.8217
     830      22.0910      42.6125
     831      22.2403      30.5329
     832      22.2021      43.0020
     833      22.3500      31.4133
     834      22.3231      30.5992
     835      22.4373      30.9173
     836      22.5000      30.8507
     837      22.2762      30.4804
     838      22.3093      30.5648
     839      22.2785      30.5676
     840      22.2936      42.6796
     841      22.3133      30.4378
     842      22.2374      42.7579
     843      22.3766      42.9966
     844      22.3719      30.2697
     845      22.1156      29.8072
     846      21.9541      42.2959
     847      21.9175      41.0100
     848      21.8541      41.6893
     849      21.9247      42.3464
     850      21.9440      42.4890
     851      22.0104      29.6351
     852      21.7732      42.0095
     853      21.6210      42.3706
     854      21.5117      41.5607
     855      21.6510      41.8202
     856      21.7115      41.9873
     857      21.6176      41.7580
     858      21.6562      41.8153
     859      21.5697      41.7692
     860      21.6245      42.0886
     861      21.6870      29.4739
     862      21.6675      29.3310
     863      21.7890      42.0856
     864      21.4789      41.0286
     865      21.3748      28.7692
     866      21.3158      28.5740
     867      21.4239      28.8733
     868      21.2878      40.8517
     869      21.2603      40.6965
     870      21.2474      28.6762
     871      21.2442      29.0472
     872      21.1429      28.6578
     873      21.2147      41.0009
     874      21.1602      41.3809
     875      21.2369      41.1411
     876      21.3709      41.1529
     877      21.1222      41.4017
     878      21.2847      40.7383
     879      21.3179      40.6248
     880      21.2266      40.8431
     881      21.0748      40.1937
     882      21.0481      28.3349
     883      21.1793      40.3031
     884      21.2712      40.8746
     885      21.2795      41.2559
     886      21.2152      41.0080
     887      20.9585      28.5699
     888      21.1702      41.3296
     889      21.1869      29.1362
     890      21.2504      29.0937
     891      21.2796      29.4440
     892      21.3698      29.4072
     893      21.3932      29.8840
     894      21.5868      29.8253
     895      21.7436      30.4700
     896      21.4846      29.6925
     897      21.5090      29.5957
     898      21.3658      29.2527
     899      21.2751      29.0833
     900      21.4368      29.6657
     901      21.3755      29.3320
     902      21.2209      28.8814
     903      21.3003      29.2734
     904      21.2034      29.0070
     905      21.0542      28.8366
     906      21.1062      28.8268
     907      21.1890      28.7600
     908      21.1770      29.0137
     909      20.9155      28.1296
     910      21.1388      40.5729
     911      21.2571      28.5276
     912      21.0921      28.6070
     913      21.1406      28.8386
     914      21.1971      40.7174
     915      21.2569      29.4228
     916      21.2293      29.0215
     917      21.2261      29.0634
     918      21.3138      30.2267
     919      21.2868      29.8489
     920      21.4029      29.8210
     921      21.3026      29.1416
     922      21.4783      29.7636
     923      21.4847      30.6985
     924      21.5494      30.5139
     925      21.6529      30.6911
     926      21.7290      30.2936
     927      21.6165      30.4721
     928      21.6258      30.3088
     929      21.5818      30.1167
     930      21.5648      29.7129
     931      21.5170      29.8956
     932      21.3981      29.4408
     933      21.4593      29.7994
     934      21.7150      29.8409
     935      21.7728      30.2848
     936      21.7948      30.1560
     937      21.6097      41.4719
     938      21.5857      42.0808
     939      21.6029      29.5426
     940      21.8061      30.1512
     941      21.7414      30.2269
     942      21.6500      29.9653
     943      21.5754      29.6403
     944      21.6204      29.4130
     945      21.6595      29.4755
     946      21.2599      28.5789
     947      21.3476      29.1520
     948      21.3594      29.5087
     949      21.2979      29.3145
     950      21.2385      28.8868
     951      21.3735      29.1316
     952      21.3873      28.6970
     953      21.2579      28.6183
     954      21.4326      29.1574
     955      21.3175      28.6733
     956      21.3885      29.1517
     957      21.3114      29.3146
     958      21.3873      29.2046
     959      21.4178      29.0000
     960      21.3052      29.0471
     961      21.3870      29.3658
     962      21.4591      28.8967
     963      21.4407      29.2826
     964      21.4346      29.9361
     965      21.5353      29.4531
     966      21.5510      29.4922
     967      21.5276      29.6751
     968      21.8064      29.9387
     969      21.7593      30.3462
     970      21.8071      29.9490
     971      21.5072      29.5342
     972      21.5619      29.1563
     973      21.4045      28.9084
     974      21.4383      28.6139
     975      21.4052      28.6985
     976      21.5450      29.3824
     977      21.4344      29.1273
     978      21.5434      29.0257
     979      21.5965      29.7257
     980      21.5765      29.2124
     981      21.6277      29.3928
     982      21.5518      28.9158
     983      21.7290      29.0722
     984      21.7353      29.2769
     985      21.7502      29.6470
     986      21.7692      29.3601
